,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Nanortalik,GL,60.14,-45.24,38.7,82,99,8.63,overcast clouds
84,Somerset,US,40.57,-74.55,73.99,73,40,3.36,scattered clouds
85,Urman,RU,54.88,56.87,44.78,89,53,1.5,broken clouds
86,New Norfolk,AU,-42.78,147.06,46.99,70,31,1.99,scattered clouds
87,Gasa,PS,31.5,34.47,78.01,73,0,3.36,clear sky
88,Salalah,OM,17.02,54.09,78.8,83,75,4.7,broken clouds
89,Susanville,US,40.42,-120.65,75.99,27,1,3.98,clear sky
90,Taoudenni,ML,22.68,-3.98,98.11,9,0,5.32,clear sky
91,Lazaro Cardenas,MX,17.96,-102.2,83.75,72,5,6.22,clear sky
92,Ponta Do Sol,PT,32.67,-17.1,71.6,60,40,12.75,scattered clouds
93,Bozhou,CN,33.88,115.77,62.33,89,50,6.42,scattered clouds
94,Rognan,NO,67.1,15.39,37.0,93,6,6.22,clear sky
95,Nuuk,GL,64.18,-51.72,37.4,93,89,6.93,overcast clouds
96,Esperance,AU,-33.87,121.9,53.6,93,75,8.05,broken clouds
97,Batemans Bay,AU,-35.72,150.18,53.19,49,3,10.96,clear sky
98,Chara,RU,56.91,118.26,38.84,75,49,6.15,scattered clouds
99,Khatanga,RU,71.97,102.5,40.12,90,100,21.25,light rain
100,Bathsheba,BB,13.22,-59.52,86.0,66,40,13.87,shower rain
101,Busselton,AU,-33.65,115.33,48.99,84,93,3.85,overcast clouds
102,Kenmare,IE,51.88,-9.58,41.7,82,0,0.65,clear sky
103,Comodoro Rivadavia,AR,-45.87,-67.5,62.6,55,0,1.12,clear sky
104,Margate,GB,51.38,1.39,54.0,68,100,11.99,overcast clouds
105,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,78,0,18.34,clear sky
106,Saint-Augustin,CA,51.23,-58.65,49.73,55,100,10.22,overcast clouds
107,Fare,PF,-16.7,-151.02,79.36,76,3,12.17,clear sky
108,Makakilo City,US,21.35,-158.09,87.8,58,40,12.75,scattered clouds
109,Georgetown,MY,5.41,100.34,78.8,78,40,5.82,scattered clouds
110,Omboue,GA,-1.57,9.26,75.61,82,100,11.01,overcast clouds
111,Santa Cruz,BO,-17.8,-63.17,91.4,52,20,25.28,few clouds
112,Razole,IN,16.48,81.83,75.85,87,100,5.73,overcast clouds
113,Chokurdakh,RU,70.63,147.92,37.42,76,100,10.16,overcast clouds
114,Punta Arenas,CL,-53.15,-70.92,42.8,60,40,19.46,scattered clouds
115,Tiksi,RU,71.69,128.87,41.07,78,100,7.52,light rain
116,Plettenberg Bay,ZA,-34.05,23.37,49.86,74,24,9.86,light rain
117,Mahur,IN,25.17,93.12,70.23,98,100,2.48,light rain
118,Barahona,DO,18.21,-71.1,89.6,66,20,13.87,few clouds
119,Jamestown,US,42.1,-79.24,73.0,64,20,10.29,few clouds
120,Nyurba,RU,63.28,118.33,37.74,95,17,7.25,few clouds
121,Bredasdorp,ZA,-34.53,20.04,46.4,87,5,4.7,clear sky
122,Emba,KZ,48.83,58.14,47.08,52,0,8.5,clear sky
123,Vaini,TO,-21.2,-175.2,77.0,73,20,10.29,few clouds
124,Chernyshevskiy,RU,63.01,112.47,34.02,96,0,3.78,clear sky
125,Yerbogachen,RU,61.28,108.01,36.07,91,0,5.91,clear sky
126,Kimberley,ZA,-28.73,24.76,46.4,33,0,1.12,clear sky
127,Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.52,86,61,12.64,broken clouds
128,Saint-Pierre,RE,-21.34,55.48,68.0,64,0,6.93,clear sky
129,Fremont,US,37.55,-121.99,84.99,42,5,13.87,clear sky
130,Lulea,SE,65.58,22.15,44.6,75,100,6.93,overcast clouds
131,Capao Da Canoa,BR,-29.75,-50.01,64.15,94,84,13.38,light rain
132,Cape Town,ZA,-33.93,18.42,50.0,87,75,10.29,light rain
133,Kayerkan,RU,69.35,87.76,46.4,87,90,24.61,light rain
134,Kaeo,NZ,-35.1,173.78,63.0,95,100,8.01,heavy intensity rain
135,Kapaa,US,22.08,-159.32,86.0,62,90,11.41,overcast clouds
136,Yellowknife,CA,62.46,-114.35,44.6,87,90,11.41,light rain
137,Bahia Honda,CU,22.9,-83.16,84.04,81,100,3.13,very heavy rain
138,Pinyug,RU,60.25,47.78,46.45,93,0,4.79,clear sky
139,Patacamaya,BO,-17.23,-67.92,57.06,36,28,12.12,scattered clouds
140,Lokosovo,RU,61.13,74.82,40.24,96,8,5.48,clear sky
141,Thompson,CA,55.74,-97.86,55.4,71,75,12.75,broken clouds
142,Lake Havasu City,US,34.48,-114.32,100.99,8,1,4.7,clear sky
143,Onega,RU,63.91,38.14,53.56,90,70,5.97,broken clouds
144,Kaitangata,NZ,-46.28,169.85,46.99,74,100,14.0,moderate rain
145,Kurilsk,RU,45.23,147.88,52.83,86,100,19.93,moderate rain
146,Upernavik,GL,72.79,-56.15,29.12,91,100,5.84,overcast clouds
147,Iracoubo,GF,5.48,-53.2,80.44,79,1,10.33,light rain
148,Souillac,MU,-20.52,57.52,68.0,82,40,4.7,scattered clouds
149,Mayo,US,38.89,-76.51,70.0,100,90,4.7,overcast clouds
150,Namibe,AO,-15.2,12.15,62.58,88,82,7.11,broken clouds
