,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
365,Kavaratti,IN,10.57,72.64,81.23,81,100,10.56,heavy intensity rain
366,Umm Lajj,SA,25.02,37.27,84.11,55,0,10.98,clear sky
367,General Roca,AR,-39.03,-67.58,64.4,22,20,10.29,light rain
368,Dambulla,LK,7.86,80.65,74.44,80,95,7.14,overcast clouds
369,Olpe,DE,51.03,7.85,46.0,93,100,1.01,moderate rain
370,Setermoen,NO,68.86,18.35,32.0,92,80,6.93,broken clouds
371,Ahuimanu,US,21.44,-157.84,87.8,65,75,12.75,broken clouds
372,Saint-Georges,GD,12.06,-61.75,86.0,70,20,9.17,thunderstorm
373,Amalapuram,IN,16.58,82.02,75.34,90,100,5.48,overcast clouds
374,Coos Bay,US,43.37,-124.22,73.0,93,75,10.29,mist
375,Saldanha,ZA,-33.01,17.94,46.4,75,23,1.12,few clouds
376,Cabo San Lucas,MX,22.89,-109.91,89.6,74,20,4.7,few clouds
377,Cascais,PT,38.7,-9.42,64.99,89,6,21.0,clear sky
378,Faya,SA,18.39,42.45,66.2,28,0,7.36,clear sky
379,Maceio,BR,-9.67,-35.74,77.0,78,40,6.93,scattered clouds
380,Kiunga,PG,-6.12,141.29,73.87,98,100,0.72,light rain
381,Egvekinot,RU,66.32,-179.17,30.7,84,0,4.14,clear sky
382,Taonan,CN,45.33,122.78,57.96,76,57,10.49,broken clouds
383,Soldatskaya,RU,43.82,43.82,62.6,88,90,2.24,overcast clouds
384,Neiafu,TO,-18.65,-173.98,78.8,65,20,12.75,few clouds
385,Sioux Lookout,CA,50.1,-91.92,68.0,56,75,5.82,broken clouds
386,Loukhi,RU,66.08,33.04,48.25,94,100,6.87,light rain
387,Vanimo,PG,-2.67,141.3,78.55,84,100,4.5,light rain
388,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,79.77,83,92,3.15,light rain
389,Haines Junction,CA,60.75,-137.51,49.5,66,99,5.46,light rain
390,Hearst,CA,49.68,-83.67,64.13,83,86,4.43,light rain
391,Armizonskoye,RU,55.95,67.67,42.78,77,0,4.38,clear sky
392,Pangkalanbuun,ID,-2.68,111.62,73.89,89,97,2.35,moderate rain
393,Uvat,RU,59.14,68.9,46.94,93,61,4.34,broken clouds
394,Vaitape,PF,-16.52,-151.75,79.2,77,5,13.6,clear sky
395,Karratha,AU,-20.74,116.85,64.27,39,98,9.15,overcast clouds
396,Yzeure,FR,46.56,3.35,46.0,93,5,2.24,clear sky
397,Asau,RO,46.43,26.4,55.99,97,81,6.06,light rain
398,Kudahuvadhoo,MV,2.67,72.89,82.38,74,60,9.66,light rain
399,Tianpeng,CN,30.99,103.94,66.99,61,100,5.06,overcast clouds
400,Dahuk,IQ,36.87,42.99,70.66,36,0,3.0,clear sky
401,Shache,CN,38.42,77.24,62.89,29,100,9.37,overcast clouds
402,Pangai,TO,-19.8,-174.35,78.8,65,40,16.11,scattered clouds
403,San Ramon De La Nueva Oran,AR,-23.13,-64.33,96.6,21,0,3.09,clear sky
404,Praya,CV,14.92,-23.51,78.8,88,40,4.7,scattered clouds
405,Birao,CF,10.28,22.79,72.14,88,57,3.44,broken clouds
406,Camocim,BR,-2.9,-40.84,78.33,77,20,16.31,few clouds
407,Flinders,AU,-34.58,150.86,57.0,54,2,8.01,clear sky
408,Fez,MA,34.04,-5.0,64.4,52,0,6.93,clear sky
409,Emerald,AU,-23.53,148.17,66.2,19,0,16.11,clear sky
410,Sola,VU,-13.88,167.55,82.4,83,75,11.41,broken clouds
411,Sibiti,CG,-3.68,13.35,69.91,90,96,5.1,overcast clouds
412,Kostolac,RS,44.71,21.17,53.6,100,100,4.7,overcast clouds
413,Orbetello,IT,42.44,11.22,50.0,81,75,6.93,light rain
414,Chintamani,IN,13.4,78.07,69.8,100,75,6.93,broken clouds
415,Jinsha,CN,32.09,121.07,68.0,78,8,5.99,clear sky
416,Abha,SA,18.22,42.51,66.2,30,0,7.92,clear sky
417,Umm Kaddadah,SD,13.6,26.69,90.05,33,28,6.91,scattered clouds
418,Ambulu,ID,-8.35,113.61,73.09,88,33,2.42,scattered clouds
419,Sri Aman,MY,1.24,111.46,73.4,100,100,2.08,light rain
420,Geraldton,AU,-28.77,114.6,57.2,93,90,8.05,overcast clouds
421,Nioro,GM,13.35,-15.75,78.33,93,43,5.82,light rain
422,Ancud,CL,-41.87,-73.82,52.0,84,82,1.01,broken clouds
423,Tokur,RU,53.13,132.9,43.18,92,79,3.62,broken clouds
424,Bima,ID,-8.47,118.72,75.02,89,88,3.85,overcast clouds
425,Viloco,BO,-16.95,-67.55,53.76,50,27,7.43,light rain
426,Kargasok,RU,59.06,80.86,36.99,89,66,5.97,broken clouds
427,Novikovo,RU,51.15,37.89,63.23,30,63,15.28,broken clouds
428,Rorvik,NO,64.86,11.24,49.55,64,96,8.57,overcast clouds
429,Vilhena,BR,-12.74,-60.15,82.4,51,100,11.41,light rain
430,Changji,CN,44.02,87.32,50.0,52,48,2.24,scattered clouds
431,Payakumbuh,ID,-0.22,100.63,67.95,88,100,1.54,light rain
432,Narsaq,GL,60.92,-46.05,34.25,87,22,4.12,few clouds
433,Pevek,RU,69.7,170.31,36.28,95,100,7.29,overcast clouds
434,Tazovskiy,RU,67.47,78.7,44.89,93,95,16.75,overcast clouds
435,Bagdarin,RU,54.43,113.6,33.37,92,46,4.34,scattered clouds
436,Kutum,SD,14.2,24.67,79.75,36,19,6.2,few clouds
437,Sao Filipe,CV,14.9,-24.5,81.63,83,23,5.53,few clouds
438,Duminichi,RU,53.93,35.11,56.14,58,7,9.13,clear sky
439,Pandan Niog,PH,6.23,120.56,83.35,77,83,8.46,moderate rain
440,Schroeder,BR,-26.41,-49.07,73.0,84,0,3.0,clear sky
441,Pemba,MZ,-12.97,40.52,75.99,82,23,16.78,few clouds
442,Grindavik,IS,63.84,-22.43,44.6,100,75,12.75,broken clouds
443,Kalispell,US,48.2,-114.31,59.0,38,75,14.99,broken clouds
444,Dukhovnitskoye,RU,52.48,48.21,52.95,56,100,6.42,overcast clouds
445,Dwarka,IN,22.24,68.97,81.39,76,42,13.44,scattered clouds
446,Marquette,US,46.53,-87.63,64.0,96,100,1.01,light rain
447,Lubyany,RU,56.04,51.4,44.6,75,95,6.71,overcast clouds
448,Kalemie,CD,-5.95,29.19,74.37,68,24,5.26,few clouds
449,Jaffna,LK,9.67,80.01,81.37,83,53,19.69,broken clouds
450,Inhambane,MZ,-23.86,35.38,72.1,84,4,1.21,clear sky
451,Palu,ID,-0.89,119.87,75.81,80,100,3.4,light rain
452,Basco,PH,20.45,121.97,83.16,79,100,11.83,moderate rain
453,Phangnga,TH,8.45,98.53,82.4,78,40,10.29,scattered clouds
454,Kruisfontein,ZA,-34.0,24.73,48.11,69,0,11.41,clear sky
455,Leningradskiy,RU,69.38,178.42,32.52,96,100,12.08,overcast clouds
456,Shabo,UA,46.13,30.39,71.6,88,89,15.66,overcast clouds
457,Liuzhou,CN,24.31,109.39,66.2,88,100,6.35,light rain
458,Marsassoum,SN,12.83,-15.98,80.6,88,90,5.01,moderate rain
459,Prado,BR,-17.34,-39.22,72.18,83,0,7.14,clear sky
460,Jardim,BR,-21.48,-56.14,88.88,29,0,5.37,clear sky
461,Spornoye,RU,50.84,37.29,62.6,39,42,15.66,scattered clouds
462,Bereda,ES,43.27,-7.54,59.0,100,100,2.44,overcast clouds
463,Kargil,IN,34.57,76.1,41.14,65,37,6.11,scattered clouds
464,Zhigansk,RU,66.77,123.37,42.44,89,99,4.38,overcast clouds
465,Crestview,US,30.76,-86.57,84.99,62,40,5.82,scattered clouds
466,Medicine Hat,CA,50.05,-110.67,63.0,35,40,14.99,scattered clouds
467,Farmington,US,36.73,-108.22,84.2,9,1,10.29,clear sky
468,Veraval,IN,20.9,70.37,79.39,80,42,9.13,scattered clouds
469,Sur,OM,22.57,59.53,82.42,58,0,10.8,clear sky
470,Bati,ET,11.18,40.02,71.19,54,71,6.98,broken clouds
471,Ixtapa,MX,20.7,-105.2,88.0,74,75,10.29,broken clouds
472,Alta Floresta,BR,-9.88,-56.09,73.74,88,95,5.3,light rain
473,Jand,PK,33.43,72.02,79.09,36,0,7.29,clear sky
474,Pangnirtung,CA,66.15,-65.71,33.08,88,76,3.36,broken clouds
475,Tadine,NC,-21.55,167.88,77.07,81,1,6.17,clear sky
476,Pringsewu,ID,-5.36,104.97,72.21,90,100,1.59,overcast clouds
477,Ozernovskiy,RU,51.5,156.52,48.42,67,56,1.28,broken clouds
478,Marsala,IT,37.8,12.44,71.01,64,40,14.99,scattered clouds
479,Severo-Kurilsk,RU,50.68,156.12,49.37,76,91,7.47,overcast clouds
480,Rincon,US,32.3,-81.24,84.2,70,75,8.05,broken clouds
481,Ushtobe,KZ,45.25,77.98,41.18,65,0,10.92,clear sky
482,Gotsu,JP,35.0,132.22,65.64,84,60,12.5,light rain
483,Ishim,RU,56.11,69.49,41.45,81,1,4.16,clear sky
484,Muzhi,RU,65.37,64.67,52.38,80,63,6.51,broken clouds
485,Beloha,MG,-25.17,45.05,68.04,85,0,2.91,clear sky
486,Hay River,CA,60.82,-115.8,48.2,81,90,5.82,overcast clouds
487,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,75.09,84,100,6.53,overcast clouds
488,Goundam,ML,16.41,-3.67,96.22,22,6,7.74,clear sky
489,Fuling,CN,29.7,107.39,63.19,84,100,2.39,overcast clouds
490,Tura,IN,25.52,90.22,73.35,99,100,4.09,light rain
491,Orsk,RU,51.2,58.57,39.2,69,0,4.47,clear sky
492,Palora,EC,-1.7,-77.93,75.2,78,40,8.05,scattered clouds
493,Zarechnyy,RU,53.2,45.19,53.01,31,41,6.87,scattered clouds
494,Necochea,AR,-38.55,-58.74,53.01,98,100,5.99,moderate rain
495,Wagar,SD,16.15,36.2,88.81,40,70,2.73,broken clouds
496,Mangaluru,IN,12.87,74.88,77.0,94,90,3.36,light rain
497,Kichmengskiy Gorodok,RU,59.98,45.79,47.44,90,0,4.32,clear sky
498,Itoman,JP,26.12,127.67,73.4,78,75,17.22,light rain
499,Kasongo-Lunda,CD,-6.47,16.82,73.36,78,28,1.95,light rain
500,Izazi,TZ,-7.2,35.73,62.6,72,5,3.36,clear sky
501,Ifakara,TZ,-8.13,36.68,74.41,68,65,8.52,broken clouds
502,Tortosa,ES,40.81,0.52,70.0,64,29,17.49,scattered clouds
503,Mitchell,US,43.71,-98.03,77.0,44,1,13.87,clear sky
504,Krasnaya Gora,RU,53.0,31.6,66.2,59,0,11.18,clear sky
505,Mabaruma,GY,8.2,-59.78,78.73,84,99,3.2,overcast clouds
506,Belmonte,BR,-15.86,-38.88,75.2,69,40,8.05,scattered clouds
507,Cintalapa,MX,16.7,-93.73,76.41,89,100,2.73,moderate rain
508,Morondava,MG,-20.28,44.28,75.06,84,0,5.64,clear sky
509,Storslett,NO,69.77,21.02,36.27,82,93,2.19,overcast clouds
510,Laguna,US,38.42,-121.42,89.01,25,1,13.87,clear sky
511,Puerto Leguizamo,CO,-0.19,-74.78,84.07,67,81,2.86,broken clouds
512,Bemidji,US,47.47,-94.88,64.4,63,75,6.93,light rain
513,Okhotsk,RU,59.38,143.3,50.45,80,100,9.35,overcast clouds
514,Narbonne,FR,43.08,2.83,50.0,88,100,5.23,light rain
515,Caicedo,CO,6.41,-75.98,78.8,54,75,8.05,shower rain
516,Summerville,US,33.02,-80.18,80.6,78,20,3.22,few clouds
517,Nishihara,JP,26.18,127.76,73.4,88,90,11.41,light intensity shower rain
518,Reconquista,AR,-29.15,-59.65,88.48,45,30,13.31,scattered clouds
519,Te Anau,NZ,-45.42,167.72,42.76,89,100,4.61,light rain
520,Hokitika,NZ,-42.72,170.97,54.36,82,93,28.14,light rain
521,Zvishavane,ZW,-20.33,30.07,78.64,20,61,4.97,broken clouds
522,Wanaka,NZ,-44.7,169.15,44.74,80,99,4.63,light rain
523,San Juan Evangelista,MX,17.9,-95.13,84.2,74,90,11.41,overcast clouds
524,Cusuna,HN,15.85,-85.23,88.09,61,37,12.73,scattered clouds
525,Cabinda,AO,-5.55,12.2,74.32,80,67,7.7,broken clouds
526,Ust-Ishim,RU,57.69,71.17,45.14,81,97,3.78,overcast clouds
527,Barra Patuca,HN,15.8,-84.28,86.02,70,83,10.27,broken clouds
528,Korla,CN,41.76,86.15,56.84,36,6,18.92,clear sky
529,Zamora,EC,-4.07,-78.96,80.96,46,44,2.55,light rain
530,Kushima,JP,31.46,131.23,66.2,93,20,6.93,few clouds
531,Shar,KZ,49.59,81.05,41.59,91,100,6.46,overcast clouds
532,Kilindoni,TZ,-7.91,39.67,76.66,82,1,11.7,clear sky
533,Concepcion,CL,-36.83,-73.05,53.6,81,75,9.17,broken clouds
534,Lata,PT,40.16,-8.33,64.0,89,48,2.75,scattered clouds
535,Touros,BR,-5.2,-35.46,77.0,78,20,9.17,few clouds
536,Yamada,JP,39.47,141.95,60.89,86,100,4.45,overcast clouds
537,Zhicheng,CN,30.3,111.5,66.99,92,91,3.36,light rain
538,Calama,CL,-22.47,-68.93,68.0,11,0,24.16,clear sky
539,Oyskhara,RU,43.26,46.25,64.4,93,75,4.47,broken clouds
540,Khvoynaya,RU,58.9,34.53,52.16,88,0,5.7,clear sky
541,Coffs Harbour,AU,-30.3,153.13,53.6,58,0,5.82,clear sky
542,Viedma,AR,-40.81,-63.0,63.64,66,100,5.99,light rain
543,Lesosibirsk,RU,58.24,92.48,43.7,90,100,4.97,overcast clouds
544,Leshukonskoye,RU,64.9,45.76,52.18,94,25,5.95,scattered clouds
545,Angoche,MZ,-16.23,39.91,74.1,75,0,15.21,clear sky
546,Imeni Poliny Osipenko,RU,52.42,136.49,46.24,92,0,4.18,clear sky
547,Mizdah,LY,31.45,12.98,67.17,68,0,13.58,clear sky
548,Tsabong,BW,-26.02,22.4,54.68,36,0,9.57,clear sky
549,Biak,ID,-0.91,122.88,76.66,75,93,2.37,overcast clouds
550,Xuddur,SO,4.12,43.89,72.9,71,10,11.61,clear sky
551,Kampot,KH,10.62,104.18,78.8,83,40,11.41,scattered clouds
552,Erenhot,CN,43.65,111.98,59.41,55,0,2.64,clear sky
553,Mount Gambier,AU,-37.83,140.77,48.2,93,90,5.82,overcast clouds
554,Kelowna,CA,49.88,-119.49,62.6,42,90,14.99,overcast clouds
555,Alberton,CA,46.82,-64.07,63.7,73,99,13.8,overcast clouds
556,Wewak,PG,-3.55,143.63,81.32,81,72,4.43,broken clouds
557,Gayny,RU,60.31,54.32,46.08,95,10,3.85,clear sky
558,Moerai,PF,-22.43,-151.33,71.74,72,17,10.51,few clouds
559,San Quintin,MX,30.48,-115.95,72.73,68,45,10.58,scattered clouds
560,Kirakira,SB,-10.45,161.92,83.77,74,19,11.5,light rain
561,Letnyaya Stavka,RU,45.43,43.45,60.6,58,42,14.34,scattered clouds
562,Qasigiannguit,GL,68.82,-51.19,32.0,96,100,9.17,overcast clouds
563,Balabac,PH,7.99,117.06,81.55,78,93,8.21,overcast clouds
564,Zavetnoye,RU,47.12,43.89,57.49,48,97,20.04,overcast clouds
565,Curuca,BR,-0.73,-47.85,78.67,76,100,8.1,overcast clouds
566,Port-Gentil,GA,-0.72,8.78,78.8,78,20,11.41,few clouds
567,Piranshahr,IR,36.7,45.14,54.9,55,0,3.36,clear sky
